ts,cpuA%,cpuB%,cpuFleet%,cpuPG%,hikA_act,hikA_pend,hikB_act,hikB_pend,pg_commit_per_s,active_waits
21:53:59,130,97,38,374,5.0,0.0,1.0,0.0,1259,""
21:54:10,117,92,34,223,8.0,0.0,4.0,0.0,1221,""
21:54:20,103,82,32,286,7.0,0.0,1.0,0.0,1194,""
21:54:31,109,86,34,303,5.0,0.0,2.0,0.0,1219,""
21:54:42,117,92,35,336,4.0,0.0,4.0,0.0,1249,""
21:54:53,125,95,37,-793,1.0,0.0,5.0,0.0,1266,""
21:55:04,104,82,31,-605,3.0,0.0,4.0,0.0,1136,""
21:55:14,112,88,35,305,9.0,0.0,1.0,0.0,1245,""
21:55:25,109,87,34,301,4.0,0.0,0.0,0.0,1256,""
21:55:36,112,88,35,304,4.0,0.0,2.0,0.0,1235,""
21:55:47,111,85,32,354,4.0,0.0,2.0,0.0,1135,""
21:55:57,126,98,37,261,3.0,0.0,0.0,0.0,1307,""
21:56:08,113,88,35,306,4.0,0.0,4.0,0.0,1240,""
21:56:19,109,87,34,304,14.0,0.0,0.0,0.0,1236,""
21:56:30,101,80,30,281,1.0,0.0,5.0,1.0,1169,""
21:56:40,115,89,35,326,3.0,0.0,6.0,0.0,1252,""
21:56:51,125,96,37,306,1.0,0.0,1.0,0.0,1245,""
21:57:02,113,89,35,-1267,1.0,0.0,5.0,0.0,1282,""
21:57:13,99,79,31,277,5.0,0.0,2.0,0.0,1129,""
21:57:23,113,88,35,305,2.0,0.0,3.0,0.0,1244,""
21:57:34,112,89,35,306,6.0,0.0,2.0,0.0,1291,""
21:57:45,117,91,35,-1060,2.0,0.0,2.0,0.0,1237,""
21:57:56,120,91,35,383,3.0,0.0,3.0,0.0,1205,""
21:58:06,38,30,-11362,119,0.0,0.0,0.0,0.0,372,""
21:58:17,0,0,0,20,0.0,0.0,0.0,0.0,46,""
